"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114089_892_3_1_-1189_1516","62114089_892_3_1_-1189",8112,"Pandalus montagui","SHRIMP",81,0.301,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1189_1517","62114089_892_3_1_-1189",436,"Gadidae","GADOIDS",88,0,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Gadiformes","EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1190_1501","62114089_892_3_1_-1190",9998,"Empty","EMPTY",NA,NA,NA,892,62.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1191_1495","62114089_892_3_1_-1191",8112,"Pandalus montagui","SHRIMP",NA,28.428,1,892,58.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","56-60"
"62114089_892_3_1_-1192_1930","62114089_892_3_1_-1192",8112,"Pandalus montagui","SHRIMP",NA,19.87,1,892,57.6,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","56-60"
"62114089_892_3_1_-1193_1498","62114089_892_3_1_-1193",9998,"Empty","EMPTY",NA,NA,NA,892,56.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","56-60"
"62114089_892_3_1_-1194_1493","62114089_892_3_1_-1194",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,2.088,NA,892,53.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","51-55"
"62114089_892_3_1_-1194_1494","62114089_892_3_1_-1194",436,"Gadidae","GADOIDS",88,0,NA,892,53.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Gadiformes","EAZ","Greenland halibut","500-750 m","51-55"
"62114089_892_3_1_-1195_1492","62114089_892_3_1_-1195",9998,"Empty","EMPTY",NA,NA,NA,892,51.5,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","51-55"
"62114089_892_3_1_-1196_1496","62114089_892_3_1_-1196",6000,"Crustacea","CRUSTACEAN",81,0.418,NA,892,53.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda",NA,"EAZ","Greenland halibut","500-750 m","51-55"
"62114089_892_3_1_-1196_1497","62114089_892_3_1_-1196",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,1.026,NA,892,53.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","51-55"
"62114089_892_3_1_-1197_1491","62114089_892_3_1_-1197",9998,"Empty","EMPTY",NA,NA,NA,892,47.2,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","46-50"
"62114089_892_3_1_-1198_1489","62114089_892_3_1_-1198",9998,"Empty","EMPTY",NA,NA,NA,892,48.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","46-50"
